"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1500026H17Rik",42.5838780184466,0.333930181645427,0.205673977804144,0.0482400687809727,0.124665226012029
"1500032F14Rik",3.1619288985684,-0.481647818278034,0.502845262521416,0.0471482880603752,0.122612297991637
"1500035N22Rik",3.73313874308995,-0.46856720471781,0.560178480668717,0.0437314036507076,0.115728612100311
"1600002D24Rik",0.650413188071265,0.0319312769886874,0.32789134548857,0.735028319067554,NA
"1600010M07Rik",120.463402052462,0.111222966519891,0.146525313955865,0.397821906229977,0.572898963763363
"1600012H06Rik",1098.34153218142,-0.0290292957379247,0.0398716829568036,0.456517201439554,0.627253342138397
"1600012P17Rik",0,NA,NA,NA,NA
"1600014C10Rik",2264.32999471998,0.386036897238491,0.193640453899847,0.0143133102908405,0.048819098446955
"1600014C23Rik",0.780776347867128,0.0321481191969193,0.330657807356996,0.766982892873501,NA
"1600017P15Rik",2.0560756867432,-0.0313744340026611,0.305067878820417,0.81423011266207,0.895295651424488
"1600019K03Rik",0,NA,NA,NA,NA
"1600020E01Rik",479.845473719698,0.0554777512090384,0.123428826067517,0.628335235587096,0.766681560442907
"1600022D10Rik",43.7081513408532,-1.8393951674381,0.30987397964418,1.5674426468223e-10,8.41487595726129e-09
"1600023N17Rik",10.2275637246647,-0.253371889676548,0.28376945801567,0.181149674802083,0.331709061532749
"1600025M17Rik",0,NA,NA,NA,NA
"1600027J07Rik",0.0570198267268947,0.0123090226424616,0.338163593537182,0.914797268830884,NA
"1600029O15Rik",45.8185695202257,-0.0259124143518738,0.246649606583407,0.876337791755453,0.932039262354703
"1700001C19Rik",24.4078467939404,-0.0347171033225421,0.271187646112442,0.822478665965923,0.900744147899684
"1700001D01Rik",0.127725757027896,0.0157264248161257,0.338452050283405,0.82210278741445,NA
"1700001F09Rik",0,NA,NA,NA,NA
"1700001G01Rik",0.0683634144209463,0.0129362017485405,0.338207948777762,0.914797268830884,NA
"1700001G11Rik",9.03340302451971,-0.205763252001923,0.249808127186724,0.255005786684157,0.423470325356294
"1700001G17Rik",10.0222012141703,0.0979879951578059,0.227001839464454,0.566191031531181,0.716970373888533
"1700001J03Rik",9.33690904048066,0.994919853374649,0.510328905145873,0.00336487702288478,0.0157000632245658
"1700001J04Rik",0,NA,NA,NA,NA
"1700001J11Rik",0,NA,NA,NA,NA
"1700001K19Rik",0.178769676219044,0.0314071877741658,0.339563238395111,0.713640494544747,NA
"1700001K23Rik",2.29338002487557,-1.82425754290609,0.97867727392091,0.00198978450368012,0.0103151704116887
"1700001L05Rik",240.853546909103,0.0153886676267059,0.162019157725706,0.903844176751165,0.946486739167881
"1700001N15Rik",0.0628904060424162,-0.0137214168331456,0.338284811951471,0.89758497886022,NA
"1700001O22Rik",64.2389827852451,0.201154766776278,0.2144059472469,0.237510871558978,0.402422580952332
"1700001P01Rik",4.31189123775076,0.194846644168127,0.321565344906887,0.269484180318742,0.44008493686605
"1700003C15Rik",0.0668666512147886,0.013179192814826,0.338218880230708,0.914797706669122,NA
"1700003D09Rik",3.603974948492,0.227155194063784,0.390493744582567,0.139147178451164,0.273989016864022
"1700003E16Rik",284.247977374266,-0.84546903480691,0.210231998615904,7.26178949883707e-06,0.000106846231862971
"1700003E24Rik",0,NA,NA,NA,NA
"1700003F12Rik",28.7125091108574,0.214178134080866,0.21881250351732,0.213395819846426,0.372790477451658
"1700003G18Rik",0.559216266436843,-0.0302001221181051,0.328276027599652,0.741865700220328,NA
"1700003H04Rik",0,NA,NA,NA,NA
"1700003I16Rik",0.630221954855729,0.0821954845002579,0.345113827140204,0.2837421241767,NA
"1700003I22Rik",0,NA,NA,NA,NA
"1700003L19Rik",1.00395069722106,-0.0448648314888401,0.335332339637972,0.622105168768412,NA
"1700003M07Rik",62.140472480318,-0.342397992880683,0.210069936435886,0.04690061644576,0.122207087845916
"1700003N22Rik",0.406689115121524,-0.00167711434558892,0.334215544341195,0.984142618907813,NA
"1700003O11Rik",0,NA,NA,NA,NA
"1700003P14Rik",0,NA,NA,NA,NA
"1700006A11Rik",0,NA,NA,NA,NA
"1700006F04Rik",0.491079937512636,0.0249107763305529,0.332666937725097,0.863121756780536,NA
"1700006H21Rik",0.0691916679639135,-0.014007497726813,0.338308741027086,0.89758497886022,NA
"1700006J14Rik",10.5740429569056,0.274376662895129,0.365607637167767,0.165750554368173,0.311142062377937
