external_gene_name	GM2091_avg	GM2092_avg	GM2093_avg	GM2094_avg	GM2095_avg	GM2096_avg	GM2097_avg	GM2100_avg
Cenpf	13	13	23	24	30	43	35	46
Cenph	19	15	12	21	6	12	7	21
Cenpi	10	14	8	12	8	16	12	10
Cenpj	83	58	81	68	60	113	92	112
Cenpk	21	21	16	29	15	12	9	20
Cenpl	50	25	36	56	36	42	39	50
Cenpm	43	32	46	59	34	38	50	47
Cenpn	37	24	23	27	22	19	30	24
Cenpo	148	145	114	171	87	95	89	133
Cenpp	22	19	16	33	21	23	20	30
Cenpq	114	73	85	108	62	87	83	88
Cenps	65	60	34	97	26	48	43	46
Cenpt	302	274	354	374	329	345	328	409
Cenpu	45	53	43	47	39	44	30	44
Cenpv	355	299	511	385	445	464	433	468
Cenpw	82	73	45	107	42	62	56	85
Cenpx	271	203	180	300	171	179	177	177
Cep104	1683	1256	1533	1616	1220	1360	1348	1504
Cep112	71	106	103	71	79	85	96	107
Cep112it	1	4	1	1	1	1	0	1
Cep112os1	0	0	0	0	0	0	0	0
Cep120	2024	2057	1995	2502	1783	1926	1896	2238
Cep126	368	406	469	490	405	444	460	521
Cep128	195	196	144	226	100	147	145	142
Cep131	1510	1475	1085	1818	964	922	740	997
Cep135	522	458	415	390	388	395	316	495
Cep152	220	217	147	256	153	145	176	187
Cep162	546	440	529	509	462	554	522	592
Cep164	967	862	700	927	658	651	589	880
Cep170	2355	2195	2642	2531	2298	2699	2397	3129
Cep170b	9606	6744	6770	9982	6793	7487	5787	7689
Cep19	1185	1149	1420	1388	1186	1469	1422	1565
Cep192	466	440	395	496	386	413	392	422
Cep20	829	910	815	1264	731	933	887	1006
Cep250	1554	1669	1643	1793	1641	1542	1485	1778
Cep290	488	500	571	578	475	593	553	667
Cep295	1210	1147	1009	1359	807	955	980	1164
Cep295nl	8	6	2	4	2	5	4	5
Cep350	2222	1982	2206	2066	1718	2086	2102	2296
Cep41	37	81	218	75	150	200	169	208
Cep43	801	709	452	807	327	390	359	490
Cep44	485	408	286	502	320	319	350	372
Cep55	6	7	5	8	14	7	10	11
Cep57	580	627	460	735	390	446	419	530
Cep57l1	96	134	141	186	96	119	153	174
Cep63	942	832	962	930	804	941	928	1143
Cep68	842	905	1125	1047	967	1101	960	1151
Cep70	1150	1073	662	1225	659	621	613	786
Cep72	45	74	60	76	70	89	64	90
Cep76	311	261	219	330	164	208	217	255
Cep78	448	378	347	472	300	303	345	419
Cep83	875	844	1085	1082	910	1017	1037	1166
Cep83os	857	1045	994	1386	851	995	957	1174
Cep85	507	542	491	732	441	505	493	534
Cep85l	737	775	753	909	644	759	819	950
Cep89	494	387	509	443	474	437	466	527
Cep95	327	309	387	354	302	282	357	409
Cep97	817	679	817	827	715	893	883	1063
Cept1	678	644	981	764	852	1011	971	1144
Cer1	0	0	2	0	0	1	0	0
Cercam	338	367	350	459	218	247	242	312
Cerk	2440	2069	1990	2956	1883	2058	1876	2368
Cerkl	138	153	124	113	119	114	120	107
Cerox1	473	635	721	717	568	675	646	765
Cers1	854	832	1401	1134	1355	1350	1300	1417
Cers2	1884	2091	1798	2456	1545	1895	1785	2187
Cers3	21	12	10	11	7	3	8	10
Cers4	2265	2118	2342	2248	2253	2320	2325	2811
Cers5	1414	1256	996	1425	884	934	896	1105
Cers6	2162	2306	2736	2496	2288	2694	2474	3002
Cert1	3481	2976	2922	3885	2355	2707	2740	3262
Ces1a	0	0	0	0	1	0	0	0
Ces1b	0	0	0	0	0	0	0	0
Ces1c	0	0	0	0	0	0	0	1
Ces1d	2	3	8	2	1	3	0	4
Ces1e	0	0	0	0	0	0	0	0
Ces1f	0	0	0	1	0	0	0	0
Ces1g	0	1	0	0	0	0	0	0
Ces1h	0	0	0	0	0	0	0	0
Ces2a	0	0	0	0	0	0	0	0
Ces2b	0	0	0	0	0	1	1	1
Ces2c	0	0	0	0	0	0	0	0
Ces2d-ps	0	0	0	0	0	0	0	0
Ces2e	0	0	0	0	3	1	3	0
Ces2f	0	0	0	0	0	0	0	0
Ces2g	7	2	1	2	3	4	1	4
Ces2h	0	0	0	0	0	0	0	0
Ces3a	0	0	0	0	0	0	0	0
Ces3b	0	0	0	0	0	0	0	0
Ces4a	1	0	0	0	0	0	0	0
Ces5a	12	18	34	25	21	17	14	26
Cetn1	0	0	0	0	0	0	0	0
Cetn2	338	384	815	415	612	815	762	754
Cetn3	1274	1317	1136	1807	884	1107	1127	1204
Cetn4	116	167	158	188	99	139	123	136
Cfap100	202	429	424	354	334	308	392	359
Cfap107	0	0	2	1	0	1	0	0
Cfap126	25	83	86	45	27	89	63	59
Cfap141	239	129	108	83	78	86	109	104
Cfap157	6	7	18	6	10	19	14	16
Cfap161	11	29	57	33	14	46	32	38
Cfap20	1366	1306	1091	1520	915	1053	927	1053
Cfap206	44	79	44	17	34	90	46	25
Cfap20dc	413	336	261	467	239	243	222	295
Cfap221	11	9	16	9	8	10	7	19
Cfap276	18	31	36	23	29	46	37	35
Cfap298	632	654	695	921	487	641	562	650
Cfap299	5	16	20	11	9	18	13	16
Cfap300	296	344	331	393	233	300	281	294
Cfap36	2387	2448	2467	3119	2029	2470	2312	2595
Cfap410	1093	904	949	1092	828	927	848	896
Cfap418	961	979	1110	1201	855	1093	1130	1224
Cfap43	47	135	123	68	76	130	106	89
Cfap44	186	449	290	213	255	380	289	280
Cfap45	66	95	103	87	76	99	101	106
Cfap46	92	145	190	143	81	95	111	175
Cfap47	19	47	34	37	29	54	48	51
Cfap52	21	36	59	20	29	85	57	73
Cfap53	43	38	21	32	11	27	19	18
Cfap54	217	265	311	163	200	290	204	296
Cfap57	4	17	43	21	17	40	32	39
Cfap58	40	20	16	26	11	18	16	37
Cfap61	32	42	54	18	55	81	69	82
Cfap65	295	420	351	205	295	392	296	286
Cfap68	725	794	736	956	553	697	640	723
Cfap69	402	358	448	247	433	498	435	514
Cfap70	56	70	59	47	58	93	67	64
Cfap73	1	3	12	1	5	4	10	9
Cfap74	391	426	530	461	418	486	469	549
Cfap77	2	16	25	6	4	15	13	25
Cfap90	165	147	240	192	153	221	150	236
Cfap91	34	54	71	20	56	78	69	57
Cfap92	1015	885	134	1423	72	53	67	115
Cfap95	13	21	25	15	27	39	34	32
Cfap97	1009	1091	1106	1480	870	1004	1007	1281
Cfap97d1	0	0	0	0	0	0	0	0
Cfap97d2	10	24	44	10	19	42	31	32
Cfap99	12	14	9	15	17	12	7	17
Cfb	0	3	1	1	0	0	1	0
Cfc1	1	1	0	0	0	0	0	0
Cfd	0	0	0	0	0	0	0	0
Cfdp1	1286	1233	1647	1654	1252	1605	1480	1742
Cfh	1339	670	911	610	396	560	565	519
Cfhr1	0	0	0	0	0	0	0	0
Cfhr2	1	0	2	0	2	1	0	0
Cfhr3	0	0	0	0	0	0	0	0
Cfhr4	1	0	0	0	0	2	0	0
Cfi	5	2	1	3	0	1	1	1
Cfl1	11238	10430	10675	13689	9105	10998	10021	10774
Cfl2	2030	1681	1613	2287	1281	1786	1679	2001
Cflar	830	675	657	838	531	748	607	669
Cfp	405	239	362	259	367	291	365	404
Cftr	22	18	14	20	7	11	7	12
Cga	1	0	0	0	0	0	0	0
Cgas	159	131	65	196	66	43	61	72
Cggbp1	1828	1520	1735	2034	1541	1875	1840	2171
Cgn	146	140	136	150	151	189	103	163
Cgnl1	1132	1099	698	1175	665	1450	750	529
Cgref1	287	281	281	317	278	295	209	281
Cgrrf1	364	240	307	370	242	312	271	309
Ch25h	217	308	161	432	8	5	4	6
Chac1	61	69	154	125	154	167	143	181
Chac2	157	139	197	236	168	198	215	244
Chad	7	10	8	8	5	4	4	1
Chadl	255	281	266	413	281	296	252	363
Chaer1	0	0	0	0	0	0	0	0
Chaf1a	365	307	209	382	175	229	213	272
Chaf1b	33	23	11	42	9	6	14	14
Champ1	873	948	1179	1117	1002	1206	1109	1311
Chaserr	326	348	338	496	253	327	349	379
Chat	2	4	1	6	0	4	0	3
Chchd1	466	452	452	639	387	418	492	418
Chchd10	1763	1674	2433	2605	2160	2529	2282	2661
Chchd2	1178	1090	1380	1613	1044	1365	1346	1258
Chchd2-ps	4	4	5	6	1	3	5	1
Chchd3	948	973	1265	1221	991	1245	1202	1334
Chchd4	884	898	905	1146	806	960	858	994
Chchd5	143	179	167	203	167	184	175	186
Chchd6	827	846	1089	1165	865	974	919	951
Chchd7	834	734	559	893	461	473	531	619
Chct1	2	12	4	15	3	0	2	2
Chd1	1068	872	803	1050	660	765	798	1038
Chd1l	420	410	404	446	286	352	326	384
Chd2	3201	2792	2144	2921	1798	1995	1937	2263
Chd3	23877	21993	28415	24659	25940	31616	25825	29800
Chd4	8705	8885	8067	10187	7059	7921	7611	8520
Chd5	9386	7382	9164	8877	9222	8917	7361	10289
Chd6	2628	2663	2853	2629	2747	2954	2689	3534
Chd7	830	788	706	896	599	715	737	827
Chd8	4793	4334	4153	5088	3803	3925	4026	4755
Chd9	2163	1920	2144	2023	1929	2116	2094	2422
Chdh	131	190	169	131	173	304	274	236
Chek1	67	40	39	35	34	41	47	37
Chek2	16	37	54	35	42	44	44	48
Cherp	2301	2142	2359	2443	2092	2154	2057	2473
Chfr	2017	1450	1231	1625	1054	1052	1094	1375
Chga	3083	3018	3471	4008	3096	3222	2889	3494
Chgb	16737	17406	19218	26196	15169	18477	18280	20698
Chia1	48	66	58	22	51	60	62	50
Chic1	1416	1317	1412	1641	1204	1506	1408	1676
Chic2	698	612	443	677	367	463	431	554
Chid1	853	1220	2045	1429	1716	2108	1920	2060
Chil1	834	2357	237	394	196	234	212	283
Chil3	22	8	7	13	0	0	0	2
Chil4	0	0	0	0	0	0	0	0
Chil5	2	2	9	4	2	3	4	2
Chil6	3	3	1	2	0	1	0	0
Chit1	9	6	5	12	3	3	3	4
Chka	3420	2905	2858	3483	2352	2534	2627	2965
Chkb	124	135	70	140	78	73	76	78
Chl1	4199	4460	6336	4103	6305	7008	6431	8243
Chm	1144	1367	1579	1345	1414	1806	1667	2028
Chml	173	146	229	189	174	245	178	271
Chmp1a	2149	1989	2262	2686	1920	2258	1926	2107
Chmp1b	478	432	589	578	525	712	651	740
Chmp1b2	1214	1313	1886	1280	1571	1991	1744	2223
Chmp2a	2117	2005	1790	2535	1291	1481	1508	1592
Chmp2b	1497	1438	1442	1811	1209	1496	1360	1617
Chmp3	2137	2036	2472	2455	2157	2621	2562	3096
Chmp4b	5029	4820	4706	6927	3908	4585	4370	4870
Chmp4c	25	8	6	22	12	13	7	10
Chmp5	1473	1674	1775	2079	1427	1817	1859	2024
Chmp6	791	651	642	879	588	675	599	660
Chmp7	2858	2615	2444	3388	2165	2597	2353	2760
Chn1	26233	28441	36261	36283	28246	34429	37287	39390
Chn1os1	18	62	22	125	14	16	25	78
Chn1os3	27	53	25	89	14	19	13	42
Chn2	480	447	602	516	570	726	698	857
Chodl	13	1	7	10	9	7	4	8
Chordc1	808	938	2219	979	1795	2087	2306	2484
Chp1	3582	3188	3467	3982	2847	3304	3173	3831
Chp2	19	31	31	32	29	23	26	31
Chpf	3007	2612	2620	4861	2528	2721	2375	2942
Chpf2	2029	2004	2078	2524	2164	2059	1783	2238
Chpt1	1407	1333	1502	2132	1238	1698	1578	1832
Chrac1	472	353	256	450	239	269	252	271
Chrd	3632	3273	3152	3834	3367	2346	2498	3026
Chrdl1	109	107	92	155	69	102	86	162
Chrdl2	20	21	23	7	20	16	9	16
Chrm1	6574	6275	9206	8379	7510	8644	8654	8935
Chrm2	196	264	279	309	254	238	243	341
Chrm3	1259	1694	2154	2452	1766	1974	2279	2452
Chrm4	365	233	412	356	322	274	264	390
Chrm5	77	97	116	49	82	98	62	69
Chrna1	62	52	28	74	43	44	60	43
Chrna10	14	22	2	10	0	2	1	0
Chrna1os	26	41	11	45	12	17	17	17
Chrna2	11	10	25	21	10	20	17	19
Chrna3	3	5	27	11	16	8	18	19
Chrna4	701	483	643	865	634	610	552	1038
Chrna5	57	120	175	166	145	160	202	179
Chrna6	5	0	1	6	1	3	0	3
Chrna7	477	587	731	635	687	816	682	802
Chrna9	1	9	0	0	0	0	0	0
Chrnb1	89	45	32	44	17	14	21	21
Chrnb2	2212	2174	2335	2587	1961	2051	1840	2275
Chrnb3	20	9	29	30	10	22	14	26
Chrnb4	10	36	21	14	14	28	18	14
Chrnd	0	1	0	0	0	0	0	0
Chrne	2	26	1	0	3	2	4	3
Chrng	0	0	0	0	0	0	0	0
Chst1	10350	10462	11179	14652	8595	9722	9987	10069
Chst10	1401	1375	1762	1774	1641	1841	1652	2129
Chst11	1966	2653	3201	2926	2527	3209	2782	3056
Chst12	642	568	530	840	502	541	513	567
Chst13	0	0	0	0	2	1	0	0
Chst14	69	62	59	71	42	73	56	49
Chst15	1173	1451	1660	1989	1408	1742	1890	1983
Chst2	6226	6503	6840	8615	5737	7246	6016	6851
Chst3	78	90	69	117	83	105	129	124
Chst4	1	0	0	0	0	0	2	2
Chst5	10	10	18	22	15	19	21	18
Chst7	29	32	41	49	44	63	71	52
Chst8	693	666	810	805	754	660	540	674
Chst9	47	84	93	69	78	96	91	99
Chsy1	413	408	401	531	341	464	377	450
Chsy3	208	125	179	216	141	165	174	322
Chtf18	43	59	48	93	33	38	29	45
Chtf8	43	39	42	50	50	50	49	46
Chtop	2566	2567	3180	3548	2627	3217	3254	3800
Chuk	1213	1094	1314	1118	1155	1216	1295	1520
Churc1	181	224	181	314	150	172	179	202
Ciao1	884	927	1331	1062	1131	1396	1353	1400
Ciao2a	415	475	443	527	322	412	438	418
Ciao2b	238	239	358	317	280	294	298	315
Ciao3	789	777	796	984	765	762	734	791
Ciapin1	1357	1339	1652	1802	1461	1615	1518	1797
Ciart	471	587	198	847	143	160	198	216
Cib1	323	304	368	428	245	329	242	271
Cib2	367	356	589	367	514	540	375	496
Cib3	0	1	1	2	1	1	3	1
Cib4	1	1	0	0	0	0	0	0
Cibar1	1634	1416	1089	1804	880	1074	1026	1124
Cibar2	4	5	2	7	4	8	8	6
Cic	7033	5975	5792	8138	5426	6159	5221	6423
Cidea	205	223	207	225	168	176	187	172
Cideb	28	53	105	63	56	84	87	77
Cidec	0	0	1	0	0	0	0	0
Ciita	0	2	3	2	2	6	7	8
Cilk1	935	736	913	905	752	892	842	1004
Cilp	0	4	2	4	3	2	2	0
Cilp2	31	28	25	43	20	19	23	28
Cinp	912	808	978	1027	778	963	884	1035
Cip2a	143	86	66	97	83	81	83	111
Cipc	2309	2289	2653	3132	2236	2709	2602	3077
Cir1	197	169	154	247	126	167	140	193
Cirbp	4106	3602	1641	5596	1552	1789	1422	1685
Cirop	6	0	1	2	1	2	2	2
Cisd1	1506	1456	1647	1946	1357	1796	1626	1693
Cisd2	1795	1605	1401	1973	1302	1565	1447	1716
Cisd3	265	206	251	241	193	225	259	249
Cish	182	160	80	182	74	146	102	100
Cit	4179	1931	2592	3233	2624	2180	1856	3377
Cited1	39	27	22	35	28	14	12	28
Cited2	1415	886	906	1195	774	849	738	971
Cited4	73	15	34	75	40	21	31	54
Ciz1	1721	1388	1659	1782	1724	1561	1488	1737
Ckap2	32	21	12	29	15	26	17	26
Ckap2l	6	11	13	15	12	16	18	22
Ckap4	814	679	652	952	658	692	665	789
Ckap5	5647	5589	5550	6719	4735	5487	5266	6453
Ckb	14869	13261	16879	21106	14254	15713	14806	17904
Ckb-ps1	0	0	0	0	0	0	0	0
Ckb-ps2	0	1	0	1	0	1	1	0
Cklf	115	94	141	126	104	110	105	128
Ckm	0	0	3	1	1	0	0	2
Ckmt1	3568	3331	4992	4097	4780	4623	4751	5592
Ckmt2	1	0	0	0	0	1	0	0
Cks1b	60	52	26	61	35	39	23	36
Cks1brt	0	0	0	0	0	0	0	0
Cks2	3	4	2	3	2	3	3	0
Clasp1	3939	3860	3728	4539	3320	3709	3451	4301
Clasp2	6531	6913	9126	7823	8033	9283	8680	11287
Clasrp	3101	2281	2200	2677	2272	1994	1930	2542
